,giga_id_school,latitude,longitude,bin_internet_availability,norm_schools_near_conn
3,185bafe0-8d87-3a75-b70e-ae9bb5935d15,-24.622995,25.8626712,0,0.42857142857142855
4,0202c1c2-9a57-3360-b30e-352d9ba76fa3,-25.7576782,25.2168433,0,0.0
5,0c3ac86e-2dbb-33d6-b0db-3e1600e8fd91,-20.1328199,27.2186993,0,0.3333333333333333
7,76098c42-2150-3461-a915-78365ecdc298,-20.2066273,25.2350806,0,0.6
10,4996e57e-73ad-3293-89bd-71e154c6cff7,-24.6538453,25.9136956,0,0.3793103448275862
11,e40d4fde-c8b9-3127-baca-7183487adb74,-20.2066273,25.2350806,0,0.6
12,ae8cfb5e-5843-38d2-a4f4-f907b341dec4,-25.7576782,25.2168433,0,0.0
13,04be441d-bafc-3772-b525-0491e88cb0db,-24.9859972,25.6978741,0,0.6666666666666666
14,7c888d2e-4bbe-3c36-a241-903b983151f3,-20.1328199,27.2186993,0,0.3333333333333333
15,1e53827b-e461-3aa3-9c7f-d317577c8b12,-24.6447436,25.847013,0,0.35714285714285715
16,a749b574-f849-3b95-8ebb-9cefe5be0fbb,-24.6543768,25.560257,0,0.3333333333333333
17,deb33736-7170-336a-9e60-54a6a7849fc7,-24.6748963,25.4556447,0,0.5
18,7dd4b992-cc24-371b-811e-54a2607d8761,-24.6447436,25.847013,0,0.35714285714285715
19,1856e0cb-66c9-3af9-a74e-9a53a5e64213,-24.622995,25.8626712,0,0.42857142857142855
20,aa5c2c26-383c-3f25-b027-65e12aeff067,-24.5547355,25.373073,0,0.0
21,f16fe10e-3831-3e7f-848a-6e34bd7d8c3e,-24.4147381,25.364799,0,0.0
22,61d13d89-3483-3257-b367-64bc4f710900,-24.6770331,25.9544492,0,0.4
27,1491a262-5c03-3dc7-b06a-c68404c4bf31,-24.3882364,25.5075556,0,0.4444444444444444
28,5fa573ac-c71a-3b7e-828b-92ece1c9e19b,-25.6198242,25.4923482,0,0.0
29,bb19deb6-5acc-3ec2-badb-359ea858958e,-20.5486285,22.7488737,0,0.0
30,2778b4a9-a346-3cba-af24-d8c911d6c997,-20.6835432,27.6909756,0,0.0
31,b3ecb7f9-ae7c-34b0-97da-3945a921b666,-24.6669355,25.9388931,0,0.35714285714285715
34,187dea42-e853-3fdc-aad7-3430345ec620,-18.7096469,21.4382753,0,0.0
35,7a03e9bf-7f77-3594-9541-6ebe3e213d69,-20.221422,27.2593993,0,0.0
37,8f41a764-fb0a-3b98-bd6a-f4d572574d55,-25.369884,25.6309867,0,0.0
38,932e8782-99bc-3e5c-9dcf-77adb4bee87d,-23.9776625,23.8871255,0,0.0
40,3492da51-e5ef-3d01-a183-e94e0e786042,-20.5610513,27.3925746,0,0.0
