,giga_id_school,latitude,longitude,bin_internet_availability,norm_student_count,norm_Schools_within_3km,norm_pop_within_3km
3,185bafe0-8d87-3a75-b70e-ae9bb5935d15,-24.622995,25.8626712,0,0.24060751398880895,0.48,0.48834935636304383
4,0202c1c2-9a57-3360-b30e-352d9ba76fa3,-25.7576782,25.2168433,0,0.17426059152677859,0.08,0.012104564817616797
5,0c3ac86e-2dbb-33d6-b0db-3e1600e8fd91,-20.1328199,27.2186993,0,0.3117505995203837,0.08,0.05153751251192998
7,76098c42-2150-3461-a915-78365ecdc298,-20.2066273,25.2350806,0,0.2829736211031175,0.16,0.023208175236853746
10,4996e57e-73ad-3293-89bd-71e154c6cff7,-24.6538453,25.9136956,0,0.7146282973621103,0.92,0.523359482297074
11,e40d4fde-c8b9-3127-baca-7183487adb74,-20.2066273,25.2350806,0,0.4580335731414868,0.16,0.023208175236853746
12,ae8cfb5e-5843-38d2-a4f4-f907b341dec4,-25.7576782,25.2168433,0,0.06634692246203037,0.08,0.012104564817616797
13,04be441d-bafc-3772-b525-0491e88cb0db,-24.9859972,25.6978741,0,0.1774580335731415,0.08,0.14066900998626597
14,7c888d2e-4bbe-3c36-a241-903b983151f3,-20.1328199,27.2186993,0,0.6474820143884892,0.08,0.05153751251192998
15,1e53827b-e461-3aa3-9c7f-d317577c8b12,-24.6447436,25.847013,0,0.10471622701838529,0.44,0.3986591866663563
16,a749b574-f849-3b95-8ebb-9cefe5be0fbb,-24.6543768,25.560257,0,0.3212156389538051,0.16,0.035708466211969554
17,deb33736-7170-336a-9e60-54a6a7849fc7,-24.6748963,25.4556447,0,0.3212156389538051,0.04,0.0025605810191112457
18,7dd4b992-cc24-371b-811e-54a2607d8761,-24.6447436,25.847013,0,0.3212156389538051,0.44,0.3986591866663563
19,1856e0cb-66c9-3af9-a74e-9a53a5e64213,-24.622995,25.8626712,0,0.3212156389538051,0.48,0.48834935636304383
20,aa5c2c26-383c-3f25-b027-65e12aeff067,-24.5547355,25.373073,0,0.416466826538769,0.0,0.0018855187504364626
21,f16fe10e-3831-3e7f-848a-6e34bd7d8c3e,-24.4147381,25.364799,0,0.4940047961630695,0.04,0.0015130706022020996
22,61d13d89-3483-3257-b367-64bc4f710900,-24.6770331,25.9544492,0,0.5787370103916867,0.36,0.4344142088968551
27,1491a262-5c03-3dc7-b06a-c68404c4bf31,-24.3882364,25.5075556,0,0.6059152677857714,0.32,0.16930096138178263
28,5fa573ac-c71a-3b7e-828b-92ece1c9e19b,-25.6198242,25.4923482,0,0.04396482813749001,0.0,0.034102283572708864
29,bb19deb6-5acc-3ec2-badb-359ea858958e,-20.5486285,22.7488737,0,0.19584332533972823,0.0,0.00402709560278405
30,2778b4a9-a346-3cba-af24-d8c911d6c997,-20.6835432,27.6909756,0,0.09592326139088729,0.0,0.008077469214832747
31,b3ecb7f9-ae7c-34b0-97da-3945a921b666,-24.6669355,25.9388931,0,0.5947242206235012,0.4,0.4891408086780418
34,187dea42-e853-3fdc-aad7-3430345ec620,-18.7096469,21.4382753,0,0.1366906474820144,0.0,0.002164854861612235
35,7a03e9bf-7f77-3594-9541-6ebe3e213d69,-20.221422,27.2593993,0,0.17985611510791366,0.0,0.011732116669382434
37,8f41a764-fb0a-3b98-bd6a-f4d572574d55,-25.369884,25.6309867,0,0.26059152677857716,0.0,0.03249610093344817
38,932e8782-99bc-3e5c-9dcf-77adb4bee87d,-23.9776625,23.8871255,0,0.2573940847322142,0.0,0.0010242324076444982
40,3492da51-e5ef-3d01-a183-e94e0e786042,-20.5610513,27.3925746,0,0.08792965627498002,0.0,0.0060755604180730465
