,giga_id_school,latitude,longitude,bin_internet_availability,bin_electricity_availability,norm_fiber_node_distance,norm_nearest_LTE_distance,norm_nearest_UMTS_distance,norm_nearest_GSM_distance,norm_nearest_mobile,norm_microwave_node_distance,norm_DTR_score
3,185bafe0-8d87-3a75-b70e-ae9bb5935d15,-24.622995,25.8626712,0,0,0.07453516572352464,0.0012740134777215275,0.0012670256572695597,0.00025282319231417495,0.00033706918344990306,0.8420857988165681,0.000115
4,0202c1c2-9a57-3360-b30e-352d9ba76fa3,-25.7576782,25.2168433,0,0,0.24567502021018595,0.2596305360914608,0.1868070953436807,0.0034552502949603916,0.0035392264262239822,0.8691263487643579,0.000446
5,0c3ac86e-2dbb-33d6-b0db-3e1600e8fd91,-20.1328199,27.2186993,0,0,0.5617623282134196,0.39625171824186145,0.3436807095343681,0.36726782403505814,0.36572006404314483,0.0,0.00332
7,76098c42-2150-3461-a915-78365ecdc298,-20.2066273,25.2350806,0,0,0.8035569927243331,0.6308713581654207,0.19480519480519481,0.004466543064217092,0.004550433976573692,0.002545248868778281,0.0306
10,4996e57e-73ad-3293-89bd-71e154c6cff7,-24.6538453,25.9136956,0,0,0.033629749393694425,0.0005029000569953398,0.00015837820715869496,0.0009270183718186417,0.00016853459172495156,0.85100504698921,0.000237
11,e40d4fde-c8b9-3127-baca-7183487adb74,-20.2066273,25.2350806,0,0,0.8035569927243331,0.6308713581654207,0.19480519480519481,0.004466543064217092,0.004550433976573692,0.002545248868778281,0.0306
12,ae8cfb5e-5843-38d2-a4f4-f907b341dec4,-25.7576782,25.2168433,0,0,0.24567502021018595,0.2596305360914608,0.1868070953436807,0.0034552502949603916,0.0035392264262239822,0.8691263487643579,0.000446
13,04be441d-bafc-3772-b525-0491e88cb0db,-24.9859972,25.6978741,0,0,0.17210994341147937,0.07825124886847487,0.04228698131137156,0.036912186077869544,0.03699334288362687,0.9252523494604944,0.0002
14,7c888d2e-4bbe-3c36-a241-903b983151f3,-20.1328199,27.2186993,0,0,0.5617623282134196,0.39625171824186145,0.3436807095343681,0.36726782403505814,0.36572006404314483,0.0,0.00332
15,1e53827b-e461-3aa3-9c7f-d317577c8b12,-24.6447436,25.847013,0,0,0.08593371059013742,0.002983873671505683,0.004355400696864111,0.0013483903590089331,0.0014325440296620883,0.846849982596589,0.001008
16,a749b574-f849-3b95-8ebb-9cefe5be0fbb,-24.6543768,25.560257,0,1,0.21697655618431688,0.08385020283635632,0.015521064301552106,0.02258553851339963,0.01651638998904525,0.843521580229725,0.003
17,deb33736-7170-336a-9e60-54a6a7849fc7,-24.6748963,25.4556447,0,1,0.238965238480194,0.1201260602809535,0.039277795375356354,0.033204112590594984,0.033285581865677934,0.847611381830839,0.0192
18,7dd4b992-cc24-371b-811e-54a2607d8761,-24.6447436,25.847013,0,1,0.08593371059013742,0.002983873671505683,0.004355400696864111,0.0013483903590089331,0.0014325440296620883,0.846849982596589,0.001008
19,1856e0cb-66c9-3af9-a74e-9a53a5e64213,-24.622995,25.8626712,0,1,0.07453516572352464,0.0012740134777215275,0.0012670256572695597,0.00025282319231417495,0.00033706918344990306,0.8420857988165681,0.000115
20,aa5c2c26-383c-3f25-b027-65e12aeff067,-24.5547355,25.373073,0,0,0.17413096200485043,0.1446005297213934,0.019638897687678174,0.020815776167200407,0.020898289373893993,0.8184389140271494,0.0014
21,f16fe10e-3831-3e7f-848a-6e34bd7d8c3e,-24.4147381,25.364799,0,0,0.12740501212611155,0.15506085090689645,0.07760532150776053,0.07374009775830102,0.07381815117552877,0.7846980508179604,0.0492
22,61d13d89-3483-3257-b367-64bc4f710900,-24.6770331,25.9544492,0,0,0.032740501212611156,0.002112180239380427,0.002692429521697814,0.0015169391538850498,0.0016010786213870396,0.8578793943612949,0.000589
27,1491a262-5c03-3dc7-b06a-c68404c4bf31,-24.3882364,25.5075556,0,0,0.025060630557801132,0.11459415965400477,0.006493506493506493,0.009607281307938647,0.006909918260723013,0.7789331709014967,0.00268
28,5fa573ac-c71a-3b7e-828b-92ece1c9e19b,-25.6198242,25.4923482,0,0,0.1261924009700889,0.16890736580950147,0.01472917326575863,0.004297994269340974,0.00438189938484874,0.9081970066132963,0.00011
29,bb19deb6-5acc-3ec2-badb-359ea858958e,-20.5486285,22.7488737,0,0,0.07776879547291835,0.2968786669795823,0.22853975292999681,0.08595988538681949,0.08603690907558777,0.5731378350156632,0.0021
30,2778b4a9-a346-3cba-af24-d8c911d6c997,-20.6835432,27.6909756,0,0,0.07113985448666127,0.18878868139605057,0.09542286981311372,0.021995617731333225,0.022078031515968655,0.14407848938391926,0.00125
31,b3ecb7f9-ae7c-34b0-97da-3945a921b666,-24.6669355,25.9388931,0,0,0.02611156022635408,0.0005364267274616958,0.0007918910357934747,0.0005899207820664083,0.0006741383668998062,0.8549425687434737,0.00229
34,187dea42-e853-3fdc-aad7-3430345ec620,-18.7096469,21.4382753,0,0,0.4620048504446241,0.8440674556609784,0.45470383275261317,0.27633574919939324,0.2763967304289205,0.9408501566306996,0.0005
35,7a03e9bf-7f77-3594-9541-6ebe3e213d69,-20.221422,27.2593993,0,0,0.47873888439773643,0.36081402755892317,0.28959455178967375,0.3096241361874263,0.3081655009690739,0.020818830490776194,0.00089
37,8f41a764-fb0a-3b98-bd6a-f4d572574d55,-25.369884,25.6309867,0,0,0.10105092966855295,0.0660475408187213,0.05891669306303453,0.004887915051407382,0.004971770455886071,0.9132439958231814,0.000695
38,932e8782-99bc-3e5c-9dcf-77adb4bee87d,-23.9776625,23.8871255,0,0,0.3769603880355699,0.6839105508431959,0.34700665188470065,0.36136861621439403,0.3614224319541585,0.47037069265576054,1.0
40,3492da51-e5ef-3d01-a183-e94e0e786042,-20.5610513,27.3925746,0,1,0.20994341147938558,0.22764609246655718,0.06865695280329427,0.06211023091184898,0.06218926434650713,0.07150626522798467,0.0011
42,d3c68f70-8ad0-3d14-85cb-bcfe3d1283f7,-25.3874522,25.4991433,0,0,0.13831851253031527,0.09273477050994067,0.029141590117199873,0.026883532782740607,0.026965534675992248,0.8877479986077272,0.00147
43,8541a306-b0ec-3c5c-a4f1-0282e252d179,-21.8166259,28.7658234,0,0,0.31236863379143087,0.3240352700573306,0.3038485904339563,0.2669812910837688,0.2670430605881857,0.4926688130873651,0.00294
46,862263d5-9a8b-3586-8c4c-6bcd4345b6ad,-22.7277115,27.4239327,0,0,0.28577202910266775,0.13481074194521744,0.08584098828001267,0.005056463846283499,0.005140305047611022,0.5365036547163244,0.00089
48,d1ec8070-9235-3b59-904f-b907342c0a83,-20.863318,27.2267603,0,0,0.02045270816491512,0.14952895027994773,0.02510294583465315,0.009860104500252823,0.009943540911772141,0.08873564218586842,0.00077
49,e74637ca-99a7-3ecb-81b4-edf60c6d1ec2,-19.3876839,22.1608243,0,0,0.046725949878738876,0.4945519160492172,0.0110072853975293,0.011629866846452046,0.01171315412488413,0.7299643230073094,0.00142
51,436860a4-1760-3d69-afa9-3f566dc45e0b,-24.4181616,26.1391837,0,0,0.037995149555375904,0.06135380695343146,0.012353500158378208,0.0071633237822349575,0.007246987444172916,0.8040810998955795,0.000223
52,f486434a-2913-3cf7-ace1-93430ad434c8,-20.5710053,27.7073987,0,0,0.07857720291026676,0.23029469943339934,0.03698131137155528,0.01609640991066914,0.016179320805595348,0.1427079707622694,0.00024
53,bf5f6c9c-0de0-3330-b22a-ab6f49b7b2a6,-20.9540029,27.6802344,0,0,0.24470493128536783,0.0974285043752305,0.09827367754197022,0.05890780380920276,0.05898710710373304,0.1716628959276018,0.0005
54,43f0c60a-2b99-33e5-a141-97ab65cd1166,-18.1512069,24.5012343,0,0,0.03168957154405821,0.7690347671572736,0.5046721571111815,0.008595988538681949,0.008679531473835005,0.5206447963800905,0.000152
55,67485d34-01eb-3d4c-a04d-8eba18ecd5be,-20.6333525,27.29161,0,0,0.20808407437348422,0.21145271063130722,0.12519797275894837,0.02376538007753245,0.023847644729080644,0.05536460146188653,0.001318
56,9f41bd2c-edb1-3b8f-9c43-62465972914d,-22.8666261,26.4824904,0,0,0.15012126111560226,0.24145908069869587,0.0942350332594235,0.10989381425922806,0.10027808207634617,0.48131308736512357,1.0
62,f8965ccf-6d8d-3ce1-9e5b-90383c6370d4,-18.0751924,24.5852467,0,0,0.12886014551333874,0.8081603915915111,0.4105163129553373,0.11174785100286533,0.11182270160950535,0.5321092934215106,0.000344
64,40c9aae4-032f-3389-accb-f07903681faa,-24.400511,25.5211707,0,0,0.0116410670978173,0.10832467227679621,0.0026132404181184667,0.004213719871902916,0.0027808207634617,0.7820222763661678,0.0
65,f7a1dd72-0f91-3a5c-8f20-f59f78d0d6da,-24.418565,26.1382433,0,0,0.0385610347615198,0.0610185402487679,0.012749445676274944,0.007668970166863307,0.0077525912193477705,0.8041246084232511,0.00011
66,3635f6f9-7bd5-3b58-b49c-7b893dde793f,-22.384409,27.5622963,0,0,0.37736459175424414,0.17873068025614378,0.005780804561292366,0.006067756615540199,0.006151512597960731,0.4613644274277759,0.00167
67,0a11a8b8-0a4e-32d2-a576-cba7d3d4902c,-23.0396266,26.4695155,0,0,0.04421988682295877,0.2825963053609146,0.12416851441241684,0.07129614023259735,0.07137439959551699,0.5159676296554124,0.011
70,60742348-bc92-35d0-80bb-94d80196edfc,-23.884328,24.7481761,0,0,0.306143896523848,0.4335669024709156,0.29656319290465627,0.3040620259565144,0.304120670767675,0.6713800904977375,0.912
72,5fda22ed-df7e-3c14-b766-fdf3b0c25355,-20.473418,24.5118263,0,0,0.4370250606305578,0.4077178395413552,0.49596135571745326,0.02064722737232429,0.02072975478216904,0.17886355725722242,0.0001
76,6ad199b0-7dce-3177-aff8-ca3a8bf02a50,-24.4007786,26.1565014,0,0,0.0211802748585287,0.07007074127468402,0.002217294900221729,0.0022754087308275747,0.0023594842841493215,0.8008179603202228,0.000236
77,a684c702-f434-3ea5-b4cc-f4bd27b0da94,-22.6646603,27.2231608,0,0,0.12109943411479386,0.06544406075032688,0.10619258789990497,0.046435192988370136,0.04651554731608663,0.5165114862513053,6e-05
79,d6256f86-6e62-3f9c-8f18-425152e4d8bf,-22.2067755,29.0366107,0,0,0.06734033953112369,0.41985449425017607,0.5403072537218879,0.09834822181021406,0.0984242015673717,0.6000478593804387,0.0014
81,85ddc940-9d85-3c19-b133-f93b70dab59d,-23.3599082,25.8355104,0,0,0.013096200485044462,0.43966875649579246,0.6153785239151094,0.009607281307938647,0.009690739024184714,0.5407022276366168,0.000201
82,a83e6b83-00af-33ff-9ef3-f4f0b91f532a,-25.75732,25.2028639,0,0,0.2515763945028294,0.2623461963992356,0.17564143173899271,0.013231080397775158,0.013314232746271172,0.8664070657848939,0.000602
84,52ad21b7-a047-3f71-977a-628ba9f5a81f,-24.6641556,25.9183712,0,0,0.034923201293451896,0.0011063801253897478,0.0006335128286347799,0.0006741951795044666,0.0006741383668998062,0.8536155586494953,0.000275
85,a7593a10-df4a-3154-9f2e-fe64fdc88bc2,-22.5195308,27.5368708,0,0,0.31212611156022635,0.15445737083850203,0.12052581564776688,0.004129445474464858,0.004213364793123789,0.49177688827010096,0.0012
86,0e5eae3a-584a-3764-923c-94fedc308510,-23.8404895,26.4510287,0,0,0.5387227162489895,0.299393167264559,0.08948368704466265,0.026040788808360023,0.02612286171736749,0.6900234946049427,3.9e-05
87,6d891f9d-c1fd-3171-9c95-4220c763f300,-24.1022323,25.0299278,0,0,0.006063055780113177,0.3087471083246723,0.0011086474501108647,0.0010955671666947582,0.001179742142074661,0.7134310824921686,6.8e-05
89,507a3877-17df-3fa5-b02b-8f998f0a66f5,-20.6680668,27.4123647,0,0,0.18924818108326596,0.1873135078955309,0.045216978143807415,0.04424405865498062,0.04432459762366226,0.0835146188652976,0.0631
90,90d37b40-15fc-31db-94b6-816d2a14e6e8,-19.982701,23.4276448,0,0,0.02223120452708165,0.0011399067958561035,0.0010294583465315173,0.0011798415641328167,0.001095474846212185,0.4170292377305952,0.00013
94,69004a0e-247c-34a6-b019-2c6d2fe860b0,-22.856463,27.2959413,0,0,0.298949070331447,0.1374928755825259,0.10144124168514412,0.09480869711781562,0.09488497514114771,0.5638705186216499,0.001
96,3d14e12f-ef9f-3404-85ab-331db2937835,-17.9865549,24.6460543,0,0,0.07057396928051739,0.847420122707614,0.3318815331010453,0.07930220798921288,0.07937979270245217,0.5489035851026801,0.00014
97,018daf63-fd5e-373f-881c-a9c3f2d83d82,-25.7679479,24.5620606,0,0,0.6962004850444624,0.4314547222315352,0.022648083623693378,0.4646890274734536,0.02410044661666807,0.7479986077271146,0.00116
99,07971d11-b5f2-3c95-8d80-04e91f2c2f6c,-20.299987,27.1336393,0,0,0.5135004042037187,0.34690045931538543,0.18205574912891986,0.19433676049216247,0.19373051318783183,0.044117647058823525,0.00071
100,9a37c3dd-1273-38d1-8d08-96b3ef282cc2,-21.4495258,27.4724405,0,0,0.00549717057396928,0.0937740972943977,0.005622426354133671,0.016770605090173606,0.005982978006235779,0.2404281239122868,0.00249
101,170ba0f1-a283-3435-aff5-ee4e9a538e67,-21.971823,28.4139273,0,0,0.012530315278900566,0.19619807556911525,0.004751346214760849,0.0071633237822349575,0.005056037751748546,0.4615384615384615,0.0012
102,f3995fb9-8220-38bd-be32-e5d3863720ca,-24.6651011,25.5436823,0,0,0.22497978981406627,0.09008616354309855,0.0012670256572695597,0.008258890948929716,0.0013482767337996125,0.8459363035154891,0.00029
104,0c9f778f-f34c-3ced-8467-08ba6f8dbff9,-25.4431466,25.291599,0,0,0.09999999999999999,0.1589164180105274,0.07317073170731707,0.003708073487274566,0.0037920283138114094,0.8508092586146885,0.000399
